                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8003,                 3.9388,                  4.213,                0.00196,                0.21818,                0.00259,                0.00072,                 3.7456,                 4.1032,                 4.1452,                0.00058,                0.00058,                0.00058
                      2,                 3.4532,                 3.5649,                 3.8832,                0.00182,                    0.2,                0.00175,                0.00049,                 3.8812,                  4.068,                 4.2508,              0.0011683,              0.0011683,              0.0011683
                      3,                 3.2069,                 3.4211,                 3.4563,                0.00234,                0.15758,                0.00178,                0.00058,                  3.989,                 4.1031,                 4.3619,              0.0017448,              0.0017448,              0.0017448
                      4,                 3.0321,                 3.2379,                  3.177,                0.00984,                0.03636,                0.00385,                0.00142,                 3.1522,                 6.6549,                 3.6902,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.9822,                 3.1707,                  3.059,                0.03413,                    0.2,                0.02037,                0.00619,                 2.8657,                 4.7792,                 3.0951,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.7836,                 3.0398,                 2.9383,                0.06304,                0.09091,                0.02819,                0.00923,                 2.7699,                 9.7632,                 3.1202,               0.001901,               0.001901,               0.001901
                      7,                  2.705,                 2.8914,                 2.8414,                0.07955,                0.06061,                0.03258,                0.01463,                 2.6477,                 4.1048,                 2.8771,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6375,                 2.8674,                 2.7326,                0.09071,                0.12424,                 0.0501,                0.01716,                 2.5824,                 3.9249,                 2.7589,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5802,                 2.7991,                 2.7147,                0.24005,                 0.1303,                0.10109,                0.03579,                 2.4233,                 4.1785,                 2.6192,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.4864,                 2.7035,                 2.6216,                0.11445,                0.14545,                0.06303,                0.02059,                 2.5639,                 4.0059,                 2.7635,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3883,                 2.8215,                 2.5219,                0.21928,                0.23939,                0.12541,                0.04284,                 2.4513,                 2.8599,                 2.6324,               0.001802,               0.001802,               0.001802
                     12,                 2.3847,                 2.5784,                 2.5599,                0.21921,                0.17273,                0.12288,                0.04764,                 2.3013,                 2.7729,                  2.493,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.3547,                 2.5306,                 2.5172,                0.33532,                0.21212,                0.19057,                0.06696,                 2.3606,                 2.6046,                 2.5651,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.323,                 2.4218,                 2.4466,                0.29238,                0.29394,                0.19602,                0.07244,                 2.3371,                 2.7577,                 2.5185,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2216,                 2.3394,                 2.3885,                0.36341,                0.35152,                0.24803,                0.10273,                 2.2259,                 3.4045,                 2.3862,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2126,                  2.267,                 2.3575,                0.29539,                0.30235,                0.23656,                0.09667,                 2.1763,                 2.5192,                 2.3587,               0.001703,               0.001703,               0.001703
                     17,                 2.1991,                 2.3337,                 2.3642,                0.30993,                0.28182,                 0.2053,                0.08443,                 2.1653,                 3.5529,                 2.3911,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1388,                 2.2622,                 2.3086,                0.38708,                 0.3062,                0.27611,                 0.1184,                 2.1078,                 2.4283,                 2.2924,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.166,                 2.2503,                 2.2998,                0.38246,                0.31515,                0.27983,                0.11778,                 2.0391,                 2.5775,                 2.2438,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0917,                  2.161,                 2.2559,                0.41044,                0.36286,                0.34497,                0.15276,                 2.0093,                 2.4373,                 2.2275,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0926,                 2.1335,                 2.2474,                0.40514,                0.38181,                0.36312,                0.15784,                 2.0106,                 2.1028,                 2.2187,               0.001604,               0.001604,               0.001604
                     22,                 1.9999,                 2.0385,                  2.179,                0.42592,                0.37273,                 0.3549,                0.15348,                 1.9957,                 2.3634,                 2.1901,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0097,                 2.0836,                 2.1924,                0.38802,                0.35455,                0.29379,                0.12674,                  1.996,                 2.1765,                 2.1899,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9834,                 1.9871,                 2.1737,                0.42136,                0.36667,                0.33675,                0.14527,                 1.9748,                 2.2825,                 2.1855,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.9338,                 1.9427,                 2.1054,                0.46473,                0.40303,                0.40986,                0.17689,                 1.9752,                 2.0583,                 2.1874,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9487,                 1.9762,                 2.1208,                0.53047,                 0.4303,                 0.4604,                0.21209,                 1.8854,                 1.9331,                 2.1141,               0.001505,               0.001505,               0.001505
                     27,                  1.886,                 1.9275,                 2.0711,                0.50077,                0.38788,                0.42653,                0.19829,                 1.8949,                 1.9962,                 2.0799,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9409,                 2.0239,                 2.1567,                0.53914,                0.37931,                0.42752,                0.21393,                 1.8182,                 2.0578,                 2.0377,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8787,                 1.8301,                 2.0503,                0.52654,                0.40606,                0.43748,                0.19545,                 1.9131,                 1.9687,                 2.1128,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8868,                 1.8956,                 2.0405,                0.60895,                0.35455,                0.44378,                0.21269,                 1.9203,                 2.0084,                 2.0988,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8348,                 1.8354,                 2.0173,                0.51486,                0.35055,                0.39805,                0.18388,                 1.8267,                 2.0107,                 2.0139,               0.001406,               0.001406,               0.001406
                     32,                 1.7804,                 1.7222,                 1.9534,                0.57893,                0.45831,                0.48707,                0.22849,                 1.8086,                 1.8402,                 2.0183,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7857,                 1.7588,                 1.9486,                0.62386,                0.38788,                0.48336,                0.23763,                 1.7755,                 1.8347,                 2.0055,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.812,                 1.7241,                 1.9741,                0.63261,                0.36364,                0.46983,                  0.233,                 1.8277,                 2.1793,                 2.0458,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7956,                 1.8016,                 2.0125,                0.65659,                0.44612,                0.53084,                 0.2358,                 1.7847,                 1.8021,                  1.992,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8034,                 1.7496,                 1.9523,                 0.5901,                0.46242,                0.50922,                0.23457,                  1.835,                 1.8198,                 2.0065,               0.001307,               0.001307,               0.001307
                     37,                 1.8203,                 1.7192,                 1.9572,                0.63385,                0.41515,                0.49294,                0.23988,                 1.8192,                 1.9249,                 2.0234,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7186,                 1.6427,                 1.9164,                0.50911,                0.45758,                0.43812,                0.20759,                 1.8558,                 1.8793,                 2.0511,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7882,                 1.7456,                 1.9925,                0.57672,                0.41818,                0.48301,                0.24227,                 1.6967,                 1.9062,                 1.9432,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.758,                   1.78,                 1.9227,                0.64491,                0.46061,                0.52264,                0.26147,                 1.7002,                 1.7919,                 1.9355,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7083,                  1.704,                 1.9044,                 0.5511,                0.44545,                0.49518,                 0.2273,                 1.7828,                 1.7898,                 1.9743,               0.001208,               0.001208,               0.001208
                     42,                 1.7713,                 1.6973,                 1.9117,                0.65118,                0.44691,                0.53448,                0.26219,                 1.8308,                  1.758,                 2.0105,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6957,                 1.6276,                  1.882,                0.65625,                0.43939,                0.51375,                0.24678,                 1.7772,                 1.7693,                 1.9552,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7196,                 1.6509,                 1.8798,                0.64382,                0.51818,                0.57884,                0.29311,                 1.7179,                 1.6929,                 1.8849,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6541,                 1.5436,                 1.8641,                0.65828,                0.50203,                 0.5621,                0.27986,                 1.7327,                 1.6758,                 1.9347,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6524,                 1.6803,                 1.8461,                0.65531,                0.49394,                0.54821,                0.27467,                 1.7057,                 1.7245,                 1.9095,               0.001109,               0.001109,               0.001109
                     47,                 1.7261,                 1.6351,                 1.9199,                0.65793,                0.51874,                0.57256,                0.28852,                 1.7386,                 1.6912,                 1.9207,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6631,                 1.5198,                 1.8015,                0.60321,                0.55281,                0.59389,                0.30371,                 1.6211,                 1.6295,                 1.8255,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6357,                 1.5172,                 1.7994,                0.63946,                0.56061,                0.60511,                0.31963,                  1.666,                 1.5689,                 1.8847,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6009,                 1.5127,                 1.7806,                 0.6251,                0.50527,                0.55711,                 0.3009,                 1.6646,                 1.5993,                 1.8707,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.646,                 1.5644,                 1.8443,                 0.6911,                0.51212,                0.56426,                0.29619,                 1.7103,                 1.6104,                 1.9279,                0.00101,                0.00101,                0.00101
                     52,                 1.6203,                 1.5041,                 1.8038,                0.71488,                0.50303,                0.58574,                0.30595,                 1.6383,                 1.5923,                 1.8401,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6651,                 1.4939,                 1.9205,                0.73198,                   0.48,                0.57769,                0.30645,                 1.5788,                 1.5774,                 1.8323,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5899,                 1.4492,                 1.7656,                 0.6738,                0.54242,                0.59745,                0.31036,                 1.6601,                 1.5743,                 1.8583,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5795,                 1.5007,                 1.7979,                0.75286,                    0.5,                0.62167,                0.31859,                 1.7208,                 1.5327,                 1.8924,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5983,                 1.4735,                 1.7957,                 0.6479,                0.52973,                0.59481,                0.32251,                 1.6387,                 1.5705,                 1.8636,               0.000911,               0.000911,               0.000911
                     57,                 1.5622,                 1.4283,                 1.7716,                0.67603,                0.56364,                0.63108,                0.33756,                 1.5718,                 1.5996,                 1.7924,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5648,                 1.4316,                 1.7555,                0.66962,                0.53434,                0.62286,                0.34162,                 1.6134,                 1.4917,                 1.8062,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5771,                 1.4301,                 1.7642,                0.71938,                0.52424,                0.63011,                0.33722,                 1.6119,                 1.5087,                 1.8194,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5825,                 1.5627,                 1.7785,                0.69372,                0.54223,                0.61249,                0.33763,                 1.6097,                 1.4911,                 1.8197,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5576,                 1.3447,                 1.7296,                0.73703,                0.55455,                0.65435,                 0.3629,                 1.6003,                 1.4277,                 1.8185,               0.000812,               0.000812,               0.000812
                     62,                 1.5577,                 1.3442,                  1.723,                0.70545,                0.54242,                0.63354,                0.35178,                  1.583,                  1.465,                  1.785,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5148,                 1.3531,                 1.7228,                0.62577,                0.56245,                0.60224,                0.33407,                 1.5877,                 1.4701,                 1.7826,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4998,                  1.342,                 1.7151,                0.76835,                0.49091,                0.63245,                0.36185,                 1.5531,                 1.4556,                 1.7841,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5215,                 1.3569,                 1.7226,                0.73784,                0.54242,                 0.6493,                 0.3575,                 1.5941,                  1.439,                 1.7961,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5044,                 1.3539,                 1.7275,                0.68705,                0.54545,                0.63504,                0.34792,                 1.6023,                 1.4376,                 1.8088,               0.000713,               0.000713,               0.000713
                     67,                 1.4965,                 1.3128,                  1.722,                 0.7021,                0.55455,                0.64253,                0.35954,                 1.5609,                  1.431,                 1.7947,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4742,                  1.317,                 1.6635,                0.71093,                0.58182,                0.66919,                0.37277,                 1.5441,                 1.3812,                 1.7558,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4623,                 1.2853,                 1.6787,                0.71872,                0.54848,                 0.6576,                0.36497,                 1.5505,                 1.3645,                 1.7658,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4777,                 1.3073,                 1.7125,                0.75716,                 0.5697,                0.67072,                0.35969,                 1.5821,                 1.4353,                 1.7842,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4929,                  1.309,                 1.6853,                0.71625,                    0.6,                0.68316,                0.37785,                  1.518,                 1.3619,                 1.7458,               0.000614,               0.000614,               0.000614
                     72,                 1.4877,                 1.3129,                 1.6739,                0.74921,                0.58182,                0.66425,                0.37119,                 1.5688,                 1.4054,                 1.7749,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4609,                 1.2602,                 1.6646,                0.70953,                0.59394,                0.67157,                0.37418,                 1.5645,                 1.3971,                 1.7758,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4403,                 1.2532,                 1.6489,                0.70752,                0.56444,                0.65393,                0.38046,                 1.5358,                 1.3904,                 1.7565,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4733,                 1.3079,                 1.6794,                0.74117,                0.54668,                0.66748,                0.37559,                 1.5605,                 1.3692,                 1.7463,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4444,                 1.2678,                 1.6238,                 0.7713,                0.57231,                0.68544,                0.39647,                 1.4951,                 1.3842,                 1.7254,               0.000515,               0.000515,               0.000515
                     77,                 1.4719,                 1.2962,                 1.6865,                0.72949,                 0.5802,                0.67306,                0.37454,                  1.588,                 1.3652,                 1.7688,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4582,                 1.2686,                 1.6664,                 0.6963,                0.60606,                0.67104,                0.38315,                 1.5244,                 1.3527,                 1.7508,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3957,                 1.2141,                 1.6083,                0.69839,                0.58485,                0.67786,                0.38211,                 1.5255,                 1.3169,                 1.7328,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.4056,                 1.1875,                 1.5963,                0.70915,                0.61515,                0.68563,                0.39047,                  1.501,                 1.3294,                 1.7192,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.4381,                 1.2204,                  1.639,                0.77014,                0.57873,                0.68981,                0.38925,                 1.4748,                 1.3089,                 1.7106,               0.000416,               0.000416,               0.000416
                     82,                 1.4219,                 1.2148,                 1.6448,                0.70876,                0.59697,                0.67279,                0.38306,                 1.5026,                 1.3627,                 1.7177,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4125,                 1.2318,                 1.6094,                0.76152,                0.58182,                0.69306,                0.38939,                 1.5151,                 1.3072,                 1.7107,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3784,                 1.1734,                 1.5916,                  0.805,                0.56061,                0.69552,                0.40274,                 1.4932,                 1.2878,                 1.7021,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.4304,                 1.2366,                 1.6276,                0.70707,                0.58182,                0.67865,                0.39345,                 1.5135,                 1.3141,                  1.713,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3792,                 1.1956,                 1.5905,                0.76428,                0.55455,                0.68856,                0.39255,                 1.5356,                  1.296,                 1.7227,               0.000317,               0.000317,               0.000317
                     87,                 1.4186,                 1.1822,                 1.6171,                0.66793,                 0.6278,                0.69319,                0.39224,                 1.5134,                  1.311,                 1.7402,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.375,                 1.2097,                 1.6052,                0.69158,                0.61154,                0.68137,                0.39003,                  1.502,                 1.3345,                 1.7254,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3671,                 1.1421,                 1.5731,                0.69872,                0.60909,                0.68467,                0.39539,                 1.5132,                 1.3316,                 1.7206,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3941,                  1.263,                 1.6425,                0.71768,                0.61628,                0.69561,                0.39703,                 1.5152,                 1.3087,                 1.7365,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2708,                  1.147,                 1.5105,                0.66006,                0.61783,                0.67958,                0.38249,                  1.544,                 1.3271,                 1.7434,               0.000218,               0.000218,               0.000218
                     92,                 1.2479,                 1.1127,                 1.5131,                0.74426,                0.58182,                0.68408,                0.39101,                 1.5063,                 1.3041,                 1.7337,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2494,                 1.1193,                 1.5163,                0.74351,                0.59394,                0.69988,                0.39928,                 1.5163,                 1.2896,                 1.7274,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2167,                 1.0331,                   1.49,                0.72061,                0.59402,                0.69922,                0.40949,                 1.4939,                 1.2656,                 1.7104,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2072,                 1.0516,                 1.5019,                0.68591,                0.66175,                0.71275,                0.41594,                 1.4896,                 1.2393,                 1.7142,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1955,                0.98212,                 1.4664,                0.70017,                0.63333,                0.71344,                0.41727,                 1.4757,                 1.2462,                 1.7009,               0.000119,               0.000119,               0.000119
                     97,                 1.3243,                 1.0656,                 1.5993,                0.69844,                 0.6457,                0.71468,                0.41849,                 1.4748,                 1.2426,                 1.6993,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2044,                 0.9912,                 1.4648,                0.70264,                0.64848,                0.71221,                0.41918,                 1.4888,                 1.2458,                    1.7,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2011,                 1.0543,                 1.4661,                0.73244,                0.62727,                0.71179,                0.41769,                 1.4882,                 1.2527,                  1.703,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1959,                0.96174,                 1.4707,                 0.7109,                0.63337,                0.71309,                0.42083,                 1.4752,                 1.2456,                 1.6967,               3.98e-05,               3.98e-05,               3.98e-05
